Country;2015;2016;2017;2018;2019;2020;2021
Argentina;26,16;26,37;26,65;26,49;26,08;24,69;23,38
Bolivia;9,71;9,99;10,14;10,28;10,44;10,45;10,46
Brasil;17,34;17,83;17,77;18,21;18,66;17,67;16,73
Chile;62,09;62,71;62,82;62,60;62,63;59,30;56,15
Colombia;19,81;19,49;19,70;19,70;19,91;19,84;19,78
CR;8,98;9,05;9,06;8,91;8,76;8,98;9,20
Ecuador;22,61;22,83;23,56;24,20;24,88;22,49;20,33
Mexico;8,79;8,97;9,27;9,55;9,78;9,26;8,77
Panama;11,99;10,92;13,07;13,64;14,24;11,34;11,34
Peru;27,37;27,22;27,23;25,95;26,06;24,08;22,25
