Country;2015;2016;2017;2018;2019;2020;2021
Argentina;31,57;31,45;31,45;31,08;29,92;28,33;26,82
Bolivia;14,06;14,18;14,16;14,08;13,88;13,40;12,95
Brasil;25,09;24,35;23,17;23,03;23,14;21,91;20,75
Chile;67,83;67,92;62,57;63,24;63,59;60,21;57,01
Colombia;..;..;..;21,09;19,81;18,54;17,35
CR;11,99;12,09;11,39;10,21;10,69;11,46;12,30
Ecuador;25,97;26,79;28,05;29,30;30,27;20,57;13,98
Mexico;14,08;14,27;14,27;15,33;15,90;15,05;14,25
Panama;20,78;12,50;15,98;14,01;12,29;19,16;19,16
Peru;30,58;30,15;29,19;28,69;28,74;23,80;19,70
