Country;2015;2016;2017;2018;2019;2020;2021
Argentina;26,52;26,55;26,83;26,99;26,48;25,08;23,74
Bolivia;11,90;11,79;11,68;11,50;11,34;11,20;11,06
Brasil;13,86;13,77;13,74;13,86;13,98;13,23;12,53
Chile;61,29;61,73;61,90;61,91;62,19;58,88;55,75
Colombia;21,19;20,75;20,61;20,44;20,46;20,61;20,76
CR;9,06;9,02;8,79;8,75;7,94;8,05;8,17
Ecuador;26,88;26,09;26,08;25,98;25,68;23,78;23,78
Mexico;13,17;13,18;13,14;13,27;12,75;12,07;11,43
Panama;16,43;16,14;15,85;15,57;15,29;14,48;13,71
Peru;29,93;29,46;29,18;26,99;26,59;24,29;22,20
